Username,Legal_Name,Title,Diamond_Member,Country,City,Date_Joined,Profile_Views,Followers,Points,Blitz,Bullet,Rapid,Puzzle Rush,Puzzles,Daily 960,Daily,Live 960,3 Check,King of the Hill,Crazyhouse,Bughouse,URL,Last_Online,Date_Collected,Time_Collected
GMHikaruOnTwitch,,GM,1,United States,,"Jul 11, 2020","6,475",386,0,2994,3108,,58,,,,2983,,,,,https://www.chess.com/member/GMHikaruOnTwitch,3 hrs ago,2020/09/08,15:47
GothamChess,Levy Rozman,IM,1,United States,New York City,"Mar 13, 2017","36,903","3,316",13,2573,2586,2167,64,2210,,1889,2455,,,,,https://www.chess.com/member/GothamChess,2 hrs ago,2020/09/08,15:47
Zablotsky,Sergey Zablotsky,GM,1,Russia,Krasnoyarsk,"May 11, 2016","12,010",666,9,2674,2347,2237,30,2750,,,,,,,,https://www.chess.com/member/Zablotsky,3 hrs ago,2020/09/08,15:47
elisak43,Tibor Bódi,FM,1,Hungary,Budapest,"Apr 15, 2016","1,280",26,0,2564,2372,,52,2129,,,2138,,,,,https://www.chess.com/member/elisak43,7 hrs ago,2020/09/08,15:47
rostovmaxim,Maxim Borisov S,,0,Russia,,"Sep 18, 2018","1,018",17,2,2506,2401,1806,40,,,,,,,,1785,https://www.chess.com/member/rostovmaxim,1 hr ago,2020/09/08,15:47
DanielNaroditsky,Daniel Naroditsky,GM,1,United States,Foster City,"Jan 16, 2009","411,025","7,563",136,3013,3076,2626,82,2850,,1732,2860,2005,2522,,,https://www.chess.com/member/DanielNaroditsky,16 hrs ago,2020/09/08,15:47
Hikaru,Hikaru Nakamura,GM,1,United States,"Sunrise, Florida","Jan 6, 2014","2,745,102","313,043",52,3193,3227,2460,75,3284,,2239,2947,2789,,,,https://www.chess.com/member/Hikaru,1 hr ago,2020/09/08,15:47
Komodo_Dragaon,Dublin,FM,1,Ireland,,"Feb 28, 2008","11,019",133,46,2590,2425,2318,48,2752,,1845,,,,,,https://www.chess.com/member/Komodo_Dragaon,2 hrs ago,2020/09/08,15:47
Jospem,Jose Eduardo Martinez Alcantara,GM,1,Peru,Lima,"Feb 22, 2016",In Live,"26,299","2,392",2933,2837,2507,90,3342,,827,2657,2549,,,,https://www.chess.com/member/Jospem,Currently Online,2020/09/08,15:47
whodee11,Warrick Rolfe,NM,1,Canada,"Victoria, British Columbia","Dec 16, 2018","1,717",10,0,2401,,,33,2416,,,,,,,,https://www.chess.com/member/whodee11,5 hrs ago,2020/09/08,15:47
LikeWater,,FM,1,United States,,"Jul 17, 2014","8,033",100,3,2582,2612,2225,58,3044,1187,1930,2341,,,,,https://www.chess.com/member/LikeWater,7 hrs ago,2020/09/08,15:47
DanielMieles1985,Daniel Mieles Palau,IM,1,Ecuador,Guayas,"Oct 22, 2013",578,43,0,2479,2623,2367,44,,,,,,,,,https://www.chess.com/member/DanielMieles1985,2 hrs ago,2020/09/08,15:47
Uih7I9kOKokUOhjUJ,,FM,1,Nauru,,"Jul 18, 2019","3,248",54,455,2905,3008,,49,3153,,,,,,,2337,https://www.chess.com/member/Uih7I9kOKokUOhjUJ,1 day ago,2020/09/08,15:47
